instance,pipeline,arm,timelimit,rep,phase,status,feasible,fail_stage,objective,obj1,obj2,obj3,lb_gap,lb_gap_note,wall,margin_vs_90pct,peak_rss_mb,full_ran,full_skip_reason,lbbd_ran,process_wall,note
prob_26,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,4,panel_gate,OK,True,,23398462.0,1713.0,2569,3607.0,,n/a(full skipped: budget 3.8s < expected 13.2s),51.038,2.962,319.2,False,budget 3.8s < expected 13.2s,False,53.351,
prob_26,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,4,panel_gate,OK,True,,20133059.0,1461.0,3278,4204.0,,n/a(full skipped: budget 4.0s < expected 11.6s),50.764,3.236,293.0,False,budget 4.0s < expected 11.6s,False,53.135,
prob_26,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,5,panel_gate,OK,True,,23398462.0,1713.0,2569,3607.0,,n/a(full skipped: budget 3.8s < expected 18.7s),51.053,2.947,177.8,False,budget 3.8s < expected 18.7s,False,53.452,
prob_26,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,5,panel_gate,OK,True,,20133059.0,1461.0,3278,4204.0,,n/a(full skipped: budget 3.8s < expected 12.5s),51.0,3.0,208.3,False,budget 3.8s < expected 12.5s,False,53.994,
prob_27,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,1,panel_gate,OK,True,,60830788.0,4480.0,7474,2710.0,,n/a(full skipped: budget 3.7s < expected 9.7s),51.121,2.879,252.6,False,budget 3.7s < expected 9.7s,False,53.715,
prob_27,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,1,panel_gate,OK,True,,44141534.0,3150.0,492,5354.0,,n/a(full skipped: budget 3.6s < expected 11.1s),51.262,2.738,241.2,False,budget 3.6s < expected 11.1s,False,53.754,
prob_27,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,2,panel_gate,OK,True,,60830788.0,4480.0,7474,2710.0,,n/a(full skipped: budget 3.9s < expected 9.9s),50.928,3.072,287.3,False,budget 3.9s < expected 9.9s,False,53.431,
prob_27,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,2,panel_gate,OK,True,,44141534.0,3150.0,492,5354.0,,n/a(full skipped: budget 3.8s < expected 11.3s),51.02,2.98,223.6,False,budget 3.8s < expected 11.3s,False,53.623,
prob_27,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,3,panel_gate,OK,True,,60830788.0,4480.0,7474,2710.0,,n/a(full skipped: budget 3.9s < expected 9.8s),50.937,3.063,280.3,False,budget 3.9s < expected 9.8s,False,53.501,
prob_27,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,3,panel_gate,OK,True,,44141534.0,3150.0,492,5354.0,,n/a(full skipped: budget 3.8s < expected 11.7s),50.978,3.022,165.6,False,budget 3.8s < expected 11.7s,False,53.889,
prob_27,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,4,panel_gate,OK,True,,60870787.0,4483.0,7474,2710.0,,n/a(full skipped: budget 2.7s < expected 9.5s),52.123,1.877,252.3,False,budget 2.7s < expected 9.5s,False,54.763,
prob_27,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,4,panel_gate,OK,True,,44325488.0,3164.0,738,5346.0,,n/a(full skipped: budget 3.9s < expected 11.9s),50.931,3.069,162.4,False,budget 3.9s < expected 11.9s,False,54.125,
prob_27,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,5,panel_gate,OK,True,,60830788.0,4480.0,7474,2710.0,,n/a(full skipped: budget 4.0s < expected 9.8s),50.846,3.154,262.8,False,budget 4.0s < expected 9.8s,False,53.393,
prob_27,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,5,panel_gate,OK,True,,44141534.0,3150.0,492,5354.0,,n/a(full skipped: budget 4.1s < expected 11.3s),50.74,3.26,244.7,False,budget 4.1s < expected 11.3s,False,52.879,
prob_31,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,1,panel_gate,OK,True,,35501729.0,2468.0,8581,9626.0,,n/a(full skipped: budget 5.0s < expected 9.9s),49.819,4.181,309.2,False,budget 5.0s < expected 9.9s,False,51.726,
prob_31,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,1,panel_gate,OK,True,,17396783.0,1088.0,6654,10751.0,,n/a(full skipped: budget 4.9s < expected 10.7s),49.927,4.073,239.8,False,budget 4.9s < expected 10.7s,False,51.339,
prob_31,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,2,panel_gate,OK,True,,35501729.0,2468.0,8581,9626.0,,n/a(full skipped: budget 4.7s < expected 10.0s),50.087,3.913,296.2,False,budget 4.7s < expected 10.0s,False,51.607,
prob_31,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,2,panel_gate,OK,True,,17396783.0,1088.0,6654,10751.0,,n/a(full skipped: budget 4.9s < expected 10.8s),49.948,4.052,280.2,False,budget 4.9s < expected 10.8s,False,51.442,
prob_31,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,3,panel_gate,OK,True,,35501729.0,2468.0,8581,9626.0,,n/a(full skipped: budget 4.6s < expected 9.8s),50.204,3.796,286.6,False,budget 4.6s < expected 9.8s,False,51.722,
prob_31,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,3,panel_gate,OK,True,,17396783.0,1088.0,6654,10751.0,,n/a(full skipped: budget 4.9s < expected 11.2s),49.91,4.09,202.7,False,budget 4.9s < expected 11.2s,False,51.497,
prob_31,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,4,panel_gate,OK,True,,35501729.0,2468.0,8581,9626.0,,n/a(full skipped: budget 4.6s < expected 9.9s),50.21,3.79,298.5,False,budget 4.6s < expected 9.9s,False,51.976,
prob_31,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,4,panel_gate,OK,True,,17410116.0,1089.0,6654,10751.0,,n/a(full skipped: budget 4.8s < expected 10.9s),50.06,3.94,180.7,False,budget 4.8s < expected 10.9s,False,51.979,
prob_31,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,5,panel_gate,OK,True,,35501729.0,2468.0,8581,9626.0,,n/a(full skipped: budget 4.8s < expected 10.1s),49.991,4.009,287.2,False,budget 4.8s < expected 10.1s,False,52.035,
prob_31,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,5,panel_gate,OK,True,,17396783.0,1088.0,6654,10751.0,,n/a(full skipped: budget 4.9s < expected 10.9s),49.886,4.114,280.9,False,budget 4.9s < expected 10.9s,False,51.57,
prob_38,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,1,panel_gate,OK,True,,69910758.0,5204.0,4313,1724.0,,n/a(full skipped: budget 5.8s < expected 19.1s),49.022,4.978,227.3,False,budget 5.8s < expected 19.1s,False,51.148,
prob_38,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,1,panel_gate,OK,True,,72445072.0,5280.0,2066,6809.0,,n/a(full skipped: budget 5.6s < expected 15.3s),49.218,4.782,257.5,False,budget 5.6s < expected 15.3s,False,51.047,
prob_38,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,2,panel_gate,OK,True,,69154730.0,5144.0,4539,1869.0,,n/a(full skipped: budget 5.8s < expected 15.5s),49.005,4.995,282.1,False,budget 5.8s < expected 15.5s,False,50.785,
prob_38,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,2,panel_gate,OK,True,,72325075.0,5271.0,2066,6809.0,,n/a(full skipped: budget 5.7s < expected 14.5s),49.079,4.921,311.6,False,budget 5.7s < expected 14.5s,False,50.772,
prob_38,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,3,panel_gate,OK,True,,69154730.0,5144.0,4539,1869.0,,n/a(full skipped: budget 5.7s < expected 16.5s),49.121,4.879,245.4,False,budget 5.7s < expected 16.5s,False,50.857,
prob_38,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,3,panel_gate,OK,True,,72445072.0,5280.0,2066,6809.0,,n/a(full skipped: budget 5.4s < expected 17.1s),49.387,4.613,200.4,False,budget 5.4s < expected 17.1s,False,51.438,
prob_38,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,4,panel_gate,OK,True,,70229382.0,5228.0,4379,1719.0,,n/a(full skipped: budget 5.8s < expected 17.6s),48.96,5.04,244.0,False,budget 5.8s < expected 17.6s,False,51.003,
prob_38,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,4,panel_gate,OK,True,,72445072.0,5280.0,2066,6809.0,,n/a(full skipped: budget 5.9s < expected 17.4s),48.9,5.1,260.5,False,budget 5.9s < expected 17.4s,False,50.718,
prob_38,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,5,panel_gate,OK,True,,72098620.0,5374.0,4539,1460.0,,n/a(full skipped: budget 5.4s < expected 17.9s),49.422,4.578,281.2,False,budget 5.4s < expected 17.9s,False,51.607,
prob_38,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,5,panel_gate,OK,True,,72445072.0,5280.0,2066,6809.0,,n/a(full skipped: budget 5.9s < expected 17.4s),48.889,5.111,235.3,False,budget 5.9s < expected 17.4s,False,51.329,
prob_40,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,1,panel_gate,OK,True,,6307212.0,9365.0,16076,3437.0,,n/a(full skipped: budget 5.9s < expected 22.3s),48.924,5.076,401.5,False,budget 5.9s < expected 22.3s,False,50.392,
prob_40,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,1,panel_gate,OK,True,,3917414.0,5705.0,5618,8197.0,,n/a(full skipped: budget 5.1s < expected 14.8s),49.659,4.341,320.2,False,budget 5.1s < expected 14.8s,False,51.317,
prob_40,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,2,panel_gate,OK,True,,6851759.0,10190.0,17264,2905.0,,n/a(full skipped: budget 5.6s < expected 22.0s),49.25,4.75,356.5,False,budget 5.6s < expected 22.0s,False,51.323,
prob_40,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,2,panel_gate,OK,True,,3934729.0,5732.0,5678,8139.0,,n/a(full skipped: budget 6.0s < expected 18.7s),48.811,5.189,255.4,False,budget 6.0s < expected 18.7s,False,51.835,
prob_40,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,3,panel_gate,OK,True,,7576186.0,11287.0,19157,2200.0,,n/a(full skipped: budget 5.7s < expected 36.4s),49.054,4.946,375.2,False,budget 5.7s < expected 36.4s,False,52.554,
prob_40,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,3,panel_gate,OK,True,,3919415.0,5708.0,5618,8197.0,,n/a(full skipped: budget 5.6s < expected 17.0s),49.197,4.803,290.3,False,budget 5.6s < expected 17.0s,False,51.588,
prob_40,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,4,panel_gate,OK,True,,6143303.0,9118.0,14381,3632.0,,n/a(full skipped: budget 5.9s < expected 21.1s),48.943,5.057,457.7,False,budget 5.9s < expected 21.1s,False,50.577,
prob_40,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,4,panel_gate,OK,True,,3886173.0,5659.0,5618,8154.0,,n/a(full skipped: budget 5.4s < expected 14.7s),49.385,4.615,326.1,False,budget 5.4s < expected 14.7s,False,51.0,
prob_40,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,5,panel_gate,OK,True,,6012195.0,8918.0,14294,3815.0,,n/a(full skipped: budget 5.9s < expected 21.2s),48.857,5.143,447.7,False,budget 5.9s < expected 21.2s,False,50.396,
prob_40,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,60.0,5,panel_gate,OK,True,,3934729.0,5732.0,5678,8139.0,,n/a(full skipped: budget 5.6s < expected 14.3s),49.191,4.809,314.9,False,budget 5.6s < expected 14.3s,False,50.747,
prob_31,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,300.0,1,t300_spot,OK,True,,15020801.0,941.0,7440,9184.0,941,certified,163.064,106.936,318.3,True,,False,164.849,
prob_31,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,300.0,1,t300_spot,OK,True,,15301292.0,947.0,5919,9952.0,947,certified,241.243,28.757,255.1,True,,False,242.887,
prob_31,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,300.0,2,t300_spot,OK,True,,15020801.0,941.0,7440,9184.0,941,certified,204.875,65.125,187.2,True,,False,206.959,
prob_31,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,300.0,2,t300_spot,OK,True,,15301292.0,947.0,5919,9952.0,947,certified,235.811,34.189,269.0,True,,False,237.738,
prob_31,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,300.0,3,t300_spot,OK,True,,15020801.0,941.0,7440,9184.0,941,certified,174.146,95.854,303.6,True,,False,175.699,
prob_31,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,300.0,3,t300_spot,OK,True,,15301292.0,947.0,5919,9952.0,947,certified,234.459,35.541,248.4,True,,False,236.339,
prob_38,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,300.0,1,t300_spot,OK,True,,64105869.0,4765.0,3712,1889.0,,n/a,272.149,-2.149,217.4,True,,False,274.385,
prob_38,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,300.0,1,t300_spot,CRASH_INTERNAL,False,,-1,-1,-1,-1,,,,,,,,,0.027,"ModuleNotFoundError(""No module named 'utils'"") | Traceback (most recent call last):
  File ""/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/f17ab/child_solve.py"", line 33, in <module>
    import utils
ModuleNotFoundError: No module named 'utils'
"
prob_38,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,300.0,2,t300_spot,CRASH_INTERNAL,False,,-1,-1,-1,-1,,,,,,,,,0.023,"ModuleNotFoundError(""No module named 'utils'"") | Traceback (most recent call last):
  File ""/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/f17ab/child_solve.py"", line 33, in <module>
    import utils
ModuleNotFoundError: No module named 'utils'
"
prob_38,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,300.0,2,t300_spot,CRASH_INTERNAL,False,,-1,-1,-1,-1,,,,,,,,,0.024,"ModuleNotFoundError(""No module named 'utils'"") | Traceback (most recent call last):
  File ""/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/f17ab/child_solve.py"", line 33, in <module>
    import utils
ModuleNotFoundError: No module named 'utils'
"
prob_38,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,300.0,3,t300_spot,CRASH_INTERNAL,False,,-1,-1,-1,-1,,,,,,,,,0.023,"ModuleNotFoundError(""No module named 'utils'"") | Traceback (most recent call last):
  File ""/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/f17ab/child_solve.py"", line 33, in <module>
    import utils
ModuleNotFoundError: No module named 'utils'
"
prob_38,"solver:congestion-arm (api.solve, assign_arm='congestion')",congestion,300.0,3,t300_spot,CRASH_INTERNAL,False,,-1,-1,-1,-1,,,,,,,,,0.023,"ModuleNotFoundError(""No module named 'utils'"") | Traceback (most recent call last):
  File ""/private/tmp/claude-501/-Users-jungwoosuh-Desktop-workspace-03-Projects-OGC-2026/6332b06e-d056-4262-9589-90fb10c82042/scratchpad/f17ab/child_solve.py"", line 33, in <module>
    import utils
ModuleNotFoundError: No module named 'utils'
"
prob_5,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,1,control_pre,OK,True,,75662.0,0.0,1616,429.0,0,proof(zero-tardy),47.706,6.294,202.4,True,,False,52.975,
prob_5,"solver:baseline-arm (api.solve, assign_arm='baseline')",baseline,60.0,2,control_halfway,OK,True,,74937.0,0.0,1491,430.0,0,proof(zero-tardy),50.096,3.904,238.2,True,,False,51.811,
